"","Month","Year","Autonomous.Community","Relation","Victim.Age","Agressor.Age","Previous.Abuse.Report","Living.Together"
"827","January",2016,"Illes Balears","Partner","41-50 years","41-50 years","No","Yes"
"828","January",2016,"Castilla - La Mancha","Partner","31-40 years","31-40 years","No","Yes"
"829","January",2016,"Castilla - La Mancha","Partner","51-64 years","51-64 years","No","Yes"
"830","January",2016,"Cataluña","In separation process","41-50 years","51-64 years","No","Yes"
"831","January",2016,"Comunitat Valenciana","Partner","65-74 years","75-84 years","No","Yes"
"832","January",2016,"Extremadura","Ex-partner","21-30 years","21-30 years","Yes","No"
"833","January",2016,"Comunidad de Madrid","In separation process","41-50 years","31-40 years","Yes","Yes"
"834","February",2016,"Aragón","Ex-partner","31-40 years","41-50 years","Yes","No"
"835","February",2016,"Comunitat Valenciana","Partner","65-74 years","75-84 years","No","Yes"
"836","February",2016,"Galicia","In separation process","31-40 years","21-30 years","No","No"
"837","March",2016,"Principado de Asturias","Partner","31-40 years","41-50 years","Yes","Yes"
"838","March",2016,"Illes Balears","Partner","18-20 years","21-30 years","Yes","No"
"839","April",2016,"Castilla y León","Partner","41-50 years","31-40 years","Yes","Yes"
"840","April",2016,"Cataluña","Ex-partner","31-40 years","41-50 years","No","No"
"841","April",2016,"Comunitat Valenciana","Partner","41-50 years","41-50 years","Yes","Yes"
"842","May",2016,"Aragón","Partner","65-74 years","65-74 years","No","Yes"
"843","May",2016,"Illes Balears","Partner","41-50 years","51-64 years","No","Yes"
"844","May",2016,"Canarias","Partner","51-64 years","65-74 years","Yes","Yes"
"845","June",2016,"Andalucía","In separation process","31-40 years","31-40 years","No","No"
"846","June",2016,"Cataluña","Partner","31-40 years","51-64 years","No","Yes"
"847","July",2016,"Andalucía","Ex-partner","41-50 years","41-50 years","Yes","No"
"848","July",2016,"Aragón","In separation process","21-30 years","31-40 years","Yes","No"
"849","July",2016,"Castilla y León","In separation process","41-50 years","51-64 years","No","No"
"850","July",2016,"Comunitat Valenciana","In separation process","41-50 years","31-40 years","No","Yes"
"851","July",2016,"País Vasco","Partner","51-64 years","41-50 years","Yes","Yes"
"852","July",2016,"Melilla","Ex-partner","21-30 years","31-40 years","Yes","No"
"853","August",2016,"Illes Balears","In separation process","31-40 years","31-40 years","No","Yes"
"855","August",2016,"Comunitat Valenciana","Partner","31-40 years","31-40 years","No","Yes"
"856","September",2016,"Illes Balears","In separation process","31-40 years","21-30 years","No","Yes"
"857","September",2016,"Cataluña","Partner","31-40 years","41-50 years","No","Yes"
"858","October",2016,"Andalucía","In separation process","21-30 years","41-50 years","Yes","No"
"859","October",2016,"Castilla y León","In separation process","31-40 years","31-40 years","No","Yes"
"860","October",2016,"Castilla y León","In separation process","51-64 years","51-64 years","Yes","Yes"
"861","October",2016,"Comunitat Valenciana","Partner","75-84 years","75-84 years","No","Yes"
"862","November",2016,"Illes Balears","Partner","51-64 years","41-50 years","No","Yes"
"863","November",2016,"Castilla y León","Ex-partner","41-50 years","51-64 years","No","No"
"864","November",2016,"Castilla y León","In separation process","51-64 years","51-64 years","Yes","Yes"
